sample_id,site,temperature_k,pressure_pa
0,north,290.0,101300
1,south,290.4,101301
2,east,290.8,101302
3,west,291.2,101303
4,north,291.6,101304
5,south,292.0,101305
6,east,292.4,101306
7,west,292.8,101307
8,north,293.2,101308
9,south,293.6,101309
10,east,294.0,101310
11,west,294.4,101311
12,north,294.8,101312
13,south,295.2,101313
14,east,295.6,101314
15,west,296.0,101315
16,north,296.4,101316
17,south,296.8,101317
18,east,297.2,101318
19,west,297.6,101319
20,north,290.0,101320
21,south,290.4,101321
22,east,290.8,101322
23,west,291.2,101323
24,north,291.6,101324
25,south,292.0,101325
26,east,292.4,101326
27,west,292.8,101327
28,north,293.2,101328
29,south,293.6,101329
30,east,294.0,101330
31,west,294.4,101331
32,north,294.8,101332
33,south,295.2,101333
34,east,295.6,101334
35,west,296.0,101335
36,north,296.4,101336
37,south,296.8,101337
38,east,297.2,101338
39,west,297.6,101339
40,north,290.0,101340
41,south,290.4,101341
42,east,290.8,101342
43,west,291.2,101343
44,north,291.6,101344
45,south,292.0,101345
46,east,292.4,101346
47,west,292.8,101347
48,north,293.2,101348
49,south,293.6,101349
