specimen_id,scan_speed_mm_s,build_orientation,porosity_pct,roughness_ra_um,fatigue_life_cycles,runout,fracture_origin
S01,600,XY,0.42,7.8,118000,false,surface
S02,600,XY,0.48,8.1,109000,false,surface
S03,600,XY,0.39,7.4,125000,true,none_observed
S04,600,Z,0.61,9.5,81000,false,subsurface_pore
S05,600,Z,0.66,9.9,74000,false,subsurface_pore
S06,600,Z,0.58,9.2,86000,false,surface
S07,800,XY,0.31,6.7,143000,true,none_observed
S08,800,XY,0.35,6.9,137000,false,surface
S09,800,XY,0.29,6.5,151000,true,none_observed
S10,800,Z,0.47,8.2,105000,false,subsurface_pore
S11,800,Z,0.51,,97000,false,subsurface_pore
S12,800,Z,0.44,7.9,112000,false,surface
S13,1000,XY,0.36,7.0,134000,false,surface
S14,1000,XY,0.41,7.3,126000,false,surface
S15,1000,XY,0.34,6.8,141000,true,none_observed
S16,1000,Z,0.55,8.8,92000,false,subsurface_pore
S17,1000,Z,0.60,9.1,84000,false,subsurface_pore
S18,1000,Z,0.52,8.5,99000,false,surface
